Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,106.2062,102.8116,99.417,94.4542,89.4914,84.5286,79.5658,74.603,71.665,68.727,65.78899,62.85099,59.913,59.0044,58.0958,57.1872,56.2786,55.37,54.9542,54.5384,54.1226,53.70681,53.291,53.0288,52.7666,52.5044,52.2422,51.98,51.41,50.84,50.27,49.7,49.13,48.7648,48.3996,48.0344,47.6692,47.304,46.067,44.83,43.593,42.356,41.119,39.5738,38.0286,36.4834,34.9382,33.393,32.0268,30.6606,29.2944,27.9282,26.562,25.3792,
Andorra,AND,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,149.624,149.624,149.624,149.624,149.624,149.624,149.624,149.624,149.624,149.624,149.624,149.624,149.624,150.5446,151.4652,152.3858,153.3064,154.227,155.3466,156.4662,157.5858,158.7054,159.825,161.0078,162.1906,163.3734,164.5562,165.739,166.3386,166.9382,167.5378,168.1374,168.737,169.001,169.265,169.529,169.793,170.057,166.1466,162.2362,158.3258,154.4154,150.505,143.8986,137.2922,130.6858,124.0794,117.473,111.3472,105.2214,99.0956,92.9698,86.844,83.196,
Angola,AGO,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,232.776,234.048,235.32,235.32,235.32,235.32,235.32,235.32,234.048,232.776,231.504,230.232,228.96,228.96,228.96,228.96,228.96,228.96,228.96,228.96,228.96,228.96,228.96,228.96,228.96,228.96,228.96,228.96,228.3368,227.7136,227.0904,226.4672,225.844,223.687,221.53,219.373,217.216,215.059,212.9832,210.9074,208.8316,206.7558,204.68,202.1942,199.7084,197.2226,194.7368,192.251,187.832,183.413,178.994,174.575,170.156,166.5756,
Albania,ALB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,85.6944,84.2402,82.786,81.2328,79.6796,78.1264,76.5732,75.02,73.4526,71.8852,70.3178,68.7504,67.183,65.0994,63.0158,60.93221,58.84861,56.765,55.022,53.279,51.536,49.793,48.05,47.2396,46.4292,45.6188,44.80841,43.998,43.196,42.394,41.592,40.79,39.988,39.3074,38.6268,37.9462,37.2656,36.585,35.2906,33.9962,32.7018,31.4074,30.113,27.9986,25.8842,23.7698,21.6554,19.541,18.6922,17.8434,16.9946,16.1458,15.297,14.3552,
Arab World,ARB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,131.8523907,132.3219872,132.7648568,132.1697041,131.4821918,130.6845249,129.7715247,128.7747337,126.4462829,124.121605,121.8674888,119.7380092,117.7164646,115.8873115,114.0473054,112.1426636,110.1546691,108.1107502,104.7409817,101.434504,98.21424212,95.07573444,91.98867253,88.27059372,84.53350912,80.72356377,76.86166105,72.9829208,71.68053649,70.42058604,69.5185455,68.36448473,67.65502655,65.79075275,63.88025947,61.77767679,59.86957982,57.93372731,56.62948699,55.31473679,54.00678102,52.7059829,51.41839608,50.55546142,49.72564509,48.93295941,48.17243704,47.44024746,46.71643598,46.0263584,45.36766969,44.73482502,44.10957769,43.47848664,
United Arab Emirates,ARE,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,176.9228,176.4004,175.878,175.3504,174.8228,174.2952,173.7676,173.24,171.14,169.04,166.94,164.84,162.74,159.1704,155.6008,152.0312,148.4616,144.892,139.2702,133.6484,128.0266,122.4048,116.783,108.2294,99.6758,91.12221,82.56861,74.015,67.5586,61.1022,54.6458,48.1894,41.733,38.8972,36.0614,33.2256,30.3898,27.554,27.1554,26.7568,26.3582,25.9596,25.561,26.4232,27.2854,28.1476,29.0098,29.872,29.4226,28.9732,28.5238,28.0744,27.625,27.344,
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,61.378,61.238,61.098,60.9582,60.8184,60.6786,60.5388,60.399,61.9796,63.5602,65.1408,66.7214,68.302,71.4412,74.5804,77.7196,80.8588,83.998,82.0386,80.0792,78.1198,76.16041,74.201,74.0408,73.8806,73.7204,73.5602,73.4,73.3604,73.3208,73.2812,73.24161,73.202,72.5218,71.8416,71.1614,70.4812,69.801,67.981,66.161,64.341,62.521,60.701,59.9408,59.1806,58.4204,57.6602,56.9,56.3908,55.8816,55.3724,54.8632,54.354,53.8988,
Armenia,ARM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,42.8244,44.2432,45.662,44.9044,44.1468,43.3892,42.6316,41.874,41.6992,41.5244,41.3496,41.1748,41,40.6554,40.3108,39.9662,39.6216,39.277,40.5264,41.7758,43.0252,44.2746,45.524,49.4208,53.3176,57.2144,61.1112,65.008,68.0198,71.0316,74.0434,77.05521,80.067,74.032,67.99699,61.96199,55.92699,49.892,46.671,43.45,40.229,37.008,33.787,32.635,31.483,30.331,29.179,28.027,27.8452,27.6634,27.4816,27.2998,27.118,26.8064,
American Samoa,ASM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,126.144,124.992,123.84,122.112,120.384,118.656,116.928,115.2,110.9474,106.6948,102.4422,98.1896,93.937,88.0272,82.1174,76.2076,70.29781,64.388,63.8322,63.2764,62.7206,62.16479,61.609,61.215,60.821,60.427,60.033,59.639,60.9356,62.2322,63.5288,64.8254,66.122,66.6432,67.16441,67.68561,68.20681,68.728,67.5386,66.3492,65.1598,63.9704,62.781,61.3234,59.8658,58.4082,56.9506,55.493,54.247,53.001,51.755,50.50901,49.263,48.1334,
Australia,AUS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,44.8286,45.0668,45.305,45.9764,46.6478,47.31919,47.99059,48.662,48.6296,48.5972,48.5648,48.53241,48.5,45.1672,41.8344,38.50159,35.16879,31.836,30.687,29.538,28.389,27.24,26.091,25.0928,24.0946,23.0964,22.0982,21.1,21.146,21.192,21.238,21.284,21.33,20.9136,20.4972,20.0808,19.6644,19.248,18.7432,18.2384,17.7336,17.2288,16.724,16.5842,16.4444,16.3046,16.1648,16.025,15.2318,14.4386,13.6454,12.8522,12.059,11.3996,
Austria,AUT,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,48.3914,50.8922,53.393,54.8498,56.3066,57.7634,59.2202,60.677,59.5646,58.4522,57.3398,56.2274,55.115,51.7388,48.3626,44.9864,41.6102,38.234,36.6126,34.9912,33.3698,31.7484,30.127,28.3784,26.6298,24.8812,23.1326,21.384,21.185,20.986,20.787,20.588,20.389,19.269,18.149,17.029,15.909,14.789,14.5004,14.2118,13.9232,13.6346,13.346,12.902,12.458,12.014,11.57,11.126,9.726,8.326,6.926,5.526,4.126,3.3618,
Azerbaijan,AZE,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,43.221,42.462,41.703,42.204,42.705,43.206,43.707,44.208,41.167,38.126,35.085,32.044,29.003,26.9148,24.8266,22.7384,20.6502,18.562,18.3956,18.2292,18.0628,17.8964,17.73,18.9194,20.1088,21.2982,22.4876,23.677,26.448,29.219,31.99,34.761,37.532,38.3038,39.0756,39.8474,40.6192,41.391,39.9808,38.5706,37.1604,35.75021,34.34,35.5728,36.8056,38.0384,39.2712,40.504,40.4032,40.3024,40.2016,40.1008,40,38.9652,
Burundi,BDI,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,46.1038,46.3864,46.669,46.929,47.189,47.449,47.709,47.969,48.068,48.167,48.266,48.365,48.464,48.6396,48.8152,48.9908,49.16639,49.342,49.2786,49.2152,49.1518,49.0884,49.025,49.2414,49.4578,49.6742,49.8906,50.107,49.8946,49.6822,49.4698,49.2574,49.045,48.7188,48.3926,48.0664,47.7402,47.414,45.2536,43.0932,40.9328,38.7724,36.612,35.9952,35.3784,34.7616,34.14481,33.528,32.8736,32.2192,31.5648,30.9104,30.256,29.637,
Belgium,BEL,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,27.1146,28.2988,29.483,29.719,29.955,30.191,30.427,30.663,30.799,30.935,31.071,31.207,31.343,29.926,28.509,27.092,25.675,24.258,22.6378,21.0176,19.3974,17.7772,16.157,15.2002,14.2434,13.2866,12.3298,11.373,11.2622,11.1514,11.0406,10.9298,10.819,10.6906,10.5622,10.4338,10.3054,10.177,10.3316,10.4862,10.6408,10.7954,10.95,10.8372,10.7244,10.6116,10.4988,10.386,9.6506,8.9152,8.1798,7.4444,6.709,6.3998,
Benin,BEN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,85.7628,86.6854,87.608,88.0576,88.5072,88.9568,89.4064,89.856,90.4374,91.0188,91.6002,92.18159,92.763,94.3064,95.8498,97.3932,98.93661,100.48,102.795,105.11,107.425,109.74,112.055,114.264,116.473,118.682,120.891,123.1,123.8332,124.5664,125.2996,126.0328,126.766,125.9774,125.1888,124.4002,123.6116,122.823,121.3902,119.9574,118.5246,117.0918,115.659,113.5474,111.4358,109.3242,107.2126,105.101,102.1248,99.14861,96.17241,93.19621,90.22,87.6862,
Burkina Faso,BFA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,184.6466,182.8298,181.013,180,178.987,177.974,176.961,175.948,174.5826,173.2172,171.8518,170.4864,169.121,168.6388,168.1566,167.6744,167.1922,166.71,165.4536,164.1972,162.9408,161.6844,160.428,158.3778,156.3276,154.2774,152.2272,150.177,149.106,148.035,146.964,145.893,144.822,144.379,143.936,143.493,143.05,142.607,141.506,140.405,139.304,138.203,137.102,135.6118,134.1216,132.6314,131.1412,129.651,126.8024,123.9538,121.1052,118.2566,115.408,112.297,
Bangladesh,BGD,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,253.2574,247.7252,242.193,238.3092,234.4254,230.5416,226.6578,222.774,219.9796,217.1852,214.3908,211.5964,208.802,206.9154,205.0288,203.1422,201.2556,199.369,198.0388,196.7086,195.3784,194.0482,192.718,189.5518,186.3856,183.2194,180.0532,176.887,172.4844,168.0818,163.6792,159.2766,154.874,149.9556,145.0372,140.1188,135.2004,130.282,125.7322,121.1824,116.6326,112.0828,107.533,103.7638,99.9946,96.2254,92.45619,88.687,87.0674,85.4478,83.8282,82.2086,80.589,79.4424,
Bulgaria,BGR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,67.66299,68.91899,70.175,70.0762,69.9774,69.8786,69.7798,69.681,70.0012,70.3214,70.64159,70.96179,71.282,72.5114,73.7408,74.9702,76.1996,77.429,77.9108,78.39259,78.87439,79.35619,79.838,79.021,78.204,77.387,76.57,75.753,73.9452,72.1374,70.3296,68.5218,66.714,63.021,59.328,55.635,51.942,48.249,46.9464,45.6438,44.3412,43.0386,41.736,41.816,41.896,41.97601,42.05601,42.136,40.8802,39.6244,38.3686,37.1128,35.857,34.3246,
Bahrain,BHR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,88.4922,89.00359,89.515,89.0036,88.4922,87.9808,87.46941,86.958,84.4004,81.8428,79.28519,76.72759,74.17,72.381,70.592,68.80299,67.01399,65.225,62.5096,59.7942,57.0788,54.3634,51.648,47.8268,44.0056,40.1844,36.3632,32.542,30.4976,28.4532,26.4088,24.3644,22.32,21.5114,20.7028,19.8942,19.0856,18.277,18.01,17.743,17.476,17.209,16.942,16.4902,16.0384,15.5866,15.1348,14.683,14.5034,14.3238,14.1442,13.9646,13.785,13.6256,
"Bahamas, The",BHS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,91.84241,92.63121,93.42,89.5818,85.7436,81.9054,78.06719,74.229,76.3198,78.4106,80.5014,82.59219,84.683,86.0384,87.3938,88.7492,90.1046,91.46,90.2972,89.1344,87.9716,86.80879,85.646,82.4748,79.3036,76.13239,72.96119,69.79,69.748,69.706,69.664,69.622,69.58,68.0444,66.5088,64.97321,63.43761,61.902,58.3198,54.7376,51.1554,47.5732,43.991,41.5496,39.1082,36.6668,34.2254,31.784,31.1198,30.4556,29.7914,29.1272,28.463,27.8736,
Bosnia and Herzegovina,BIH,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,85.23739,83.23318,81.229,78.5,75.771,73.04201,70.31301,67.584,65.2816,62.9792,60.6768,58.3744,56.072,54.409,52.746,51.083,49.42001,47.757,46.691,45.625,44.559,43.493,42.427,42.0432,41.6594,41.2756,40.8918,40.508,38.9304,37.3528,35.7752,34.19761,32.62,31.4992,30.3784,29.2576,28.1368,27.016,25.1096,23.2032,21.2968,19.3904,17.484,17.3926,17.3012,17.2098,17.1184,17.027,16.6432,16.2594,15.8756,15.4918,15.108,14.741,
Belarus,BLR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,16.7274,16.9742,17.221,17.3916,17.5622,17.7328,17.9034,18.074,18.7576,19.4412,20.1248,20.8084,21.492,22.692,23.892,25.092,26.292,27.492,29.112,30.732,32.352,33.972,35.592,37.0038,38.4156,39.8274,41.2392,42.651,42.982,43.313,43.644,43.975,44.306,42.0894,39.8728,37.6562,35.43961,33.223,31.3614,29.4998,27.6382,25.7766,23.915,23.6604,23.4058,23.1512,22.8966,22.642,22.2334,21.8248,21.4162,21.0076,20.599,19.9114,
Belize,BLZ,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,181.72,181.16,180.6,180.04,179.48,178.92,178.36,177.8,177.24,176.68,176.12,175.56,175,174.72,174.44,174.16,173.88,173.6,169.12,164.64,160.16,155.68,151.2,147.28,143.36,139.44,135.52,131.6,129.6232,127.6464,125.6696,123.6928,121.716,118.6248,115.5336,112.4424,109.3512,106.26,103.2454,100.2308,97.21619,94.20159,91.187,88.693,86.199,83.70499,81.21099,78.717,77.2526,75.7882,74.3238,72.8594,71.395,70.226,
Bermuda,BMU,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,98.1166,97.6568,97.197,96.9366,96.6762,96.4158,96.1554,95.895,95.657,95.419,95.181,94.943,94.705,93.2244,91.7438,90.26321,88.78261,87.302,87.6418,87.9816,88.3214,88.66119,89.001,89.0808,89.16061,89.24041,89.32021,89.4,89.3798,89.3596,89.33939,89.31919,89.299,88.8198,88.3406,87.8614,87.38219,86.903,86.4028,85.9026,85.4024,84.90221,84.402,83.1612,81.9204,80.6796,79.4388,78.198,76.9342,75.67039,74.40659,73.14279,71.879,70.797,
